"Campo","Valor"
"Nome","PROJETO HIAGO TESTE"
"Data de Criação","2025-03-17"
"Percentual de Impostos","0.0"
"Percentual de Lucro","0.0"
"Funcionalidades Web/Backend","Nome","Horas Estimadas"
"","Cadastro pelo Facebook","2"
"","Notificações Push (Push Notifications)","0"
"Funcionalidades iOS","Nome","Horas Estimadas"
"Funcionalidades Android","Nome","Horas Estimadas"
"Custos Adicionais","Descrição","Valor"
"","Custo com hardware e instalações físicas.","1500.0"
"","Custo com softwares.","6000.0"
"","Custo com riscos.","1500.0"
"","Custo com garantia.","0.0"
"","Fundo de reserva","2000.0"
"","Outros custos.","2000.0"
"Estimativa do Projeto",""
"Custo Total","20250.0"
"Tempo Total (em horas)","45"
"Preço Final","39325.0"
